date,AQI,rain
2019/9/1,50.6,485
2019/9/2,27.5,315.8
2019/9/3,30.8,37.8
2019/9/4,37.4,53.4
2019/9/5,39.6,97.5
2019/9/6,49.5,64.3
2019/9/7,55,116.1
2019/9/8,63.8,192.9
2019/9/9,67.1,35.5
2019/9/10,70.4,34.8
2019/9/11,66,5.2
2019/9/12,73.7,5
2019/9/13,67.1,49.9
2019/9/14,64.9,81
2019/9/15,72.6,79.8
2019/9/16,62.7,69.6
2019/9/17,62.7,41.4
2019/9/18,72.6,9.9
2019/9/19,62.7,0
2019/9/20,59.4,33
2019/9/21,60.5,7.2
2019/9/22,62.7,5
2019/9/23,63.8,0.6
2019/9/24,59.4,0
2019/9/25,64.9,0
2019/9/26,73.7,0
2019/9/27,74.8,0
2019/9/28,86.9,4.1
2019/9/29,77,0
2019/9/30,78.1,4.1
2019/10/1,70.4,0.6
2019/10/2,53.9,6.3
2019/10/3,64.9,4.1
2019/10/4,88,10.5
2019/10/5,96.8,44.5
2019/10/6,51.7,16.3
2019/10/7,58.3,59.3
2019/10/8,55,7.9
2019/10/9,68.2,1.7
2019/10/10,88,3.6
2019/10/11,84.7,97.7
2019/10/12,67.1,70
2019/10/13,61.6,4.1
2019/10/14,73.7,2.4
2019/10/15,67.1,5.5
2019/10/16,61.6,3.3
2019/10/17,57.2,2.7
2019/10/18,64.9,0.9
2019/10/19,71.5,0.1
2019/10/20,78.1,11.1
2019/10/21,85.8,0
2019/10/22,83.6,14
2019/10/23,73.7,9.5
2019/10/24,69.3,0.6
2019/10/25,92.4,110.1
2019/10/26,93.5,47.5
2019/10/27,93.5,106.4
2019/10/28,80.3,31.2
2019/10/29,81.4,7.5
2019/10/30,129.8,2.1
2019/10/31,134.2,1.2
2019/11/1,112.2,0
2019/11/2,99,11
2019/11/3,96.8,2.2
2019/11/4,90.2,2.4
2019/11/5,70.4,1.2
2019/11/6,85.8,0
2019/11/7,81.4,2.7
2019/11/8,82.5,0.9
2019/11/9,86.9,0.5
2019/11/10,92.4,3.7
2019/11/11,105.6,1.2
2019/11/12,91.3,4.3
2019/11/13,69.3,9.1
2019/11/14,56.1,0.2
2019/11/15,85.8,0
2019/11/16,122.1,0
2019/11/17,118.8,145.2
2019/11/18,56.1,126.6
2019/11/19,80.3,1.5
2019/11/20,81.4,0
2019/11/21,78.1,0.5
2019/11/22,84.7,12.2
2019/11/23,99,5
2019/11/24,117.7,22.9
2019/11/25,94.6,41.9
2019/11/26,48.4,32.7
2019/11/27,36.3,62.4
2019/11/28,67.1,0.5
2019/11/29,59.4,0.5
2019/11/30,74.8,26.9
2019/12/1,68.2,15.7
2019/12/2,108.9,3.5
2019/12/3,88,0.2
2019/12/4,75.9,1.6
2019/12/5,68.2,27.7
2019/12/6,95.7,5.6
2019/12/7,80.3,0
2019/12/8,89.1,0.3
2019/12/9,113.3,4.5
2019/12/10,139.7,0
2019/12/11,123.2,0
2019/12/12,88,0
2019/12/13,145.2,2.6
2019/12/14,122.1,0
2019/12/15,158.4,0
2019/12/16,126.5,5.3
2019/12/17,134.2,24
2019/12/18,78.1,128.7
2019/12/19,25.3,227.3
2019/12/20,50.6,417.3
2019/12/21,55,322.1
2019/12/22,51.7,24.1
2019/12/23,60.5,178.4
2019/12/24,62.7,9.4
2019/12/25,49.5,216.5
2019/12/26,63.8,17.4
2019/12/27,101.2,0.3
2019/12/28,88,24
2019/12/29,89.1,44.2
2019/12/30,77,213.6
2019/12/31,105.6,8.9
2020/1/1,69.3,15.6
2020/1/2,94.6,26.6
2020/1/3,110,27.1
2020/1/4,69.3,2.5
2020/1/5,75.9,0
2020/1/6,91.3,9.3
2020/1/7,52.8,87.3
2020/1/8,53.9,14.3
2020/1/9,61.6,127.4
2020/1/10,38.5,252.7
2020/1/11,25.3,118.1
2020/1/12,48.4,3.3
2020/1/13,61.6,7.1
2020/1/14,112.2,86.9
2020/1/15,107.8,386.6
2020/1/16,51.7,54.9
2020/1/17,92.4,9.2
2020/1/18,71.5,41
2020/1/19,86.9,5.2
2020/1/20,105.6,5
2020/1/21,106.7,46
2020/1/22,63.8,272
2020/1/23,38.5,385.1
2020/1/24,44,489.7
2020/1/25,62.7,1432.5
2020/1/26,17.6,208.3
2020/1/27,41.8,16
2020/1/28,58.3,8.7
2020/1/29,75.9,0
2020/1/30,72.6,3.3
2020/1/31,93.5,0
2020/2/1,81.4,9.6
2020/2/2,82.5,126.7
2020/2/3,58.3,123.2
2020/2/4,47.3,54.9
2020/2/5,53.9,130.1
2020/2/6,38.5,892.8
2020/2/7,20.9,5.4
2020/2/8,37.4,8
2020/2/9,38.5,5.9
2020/2/10,47.3,117.2
2020/2/11,50.6,381.4
2020/2/12,30.8,170.3
2020/2/13,34.1,262.5
2020/2/14,29.7,361.7
2020/2/15,20.9,1483
2020/2/16,27.5,22.6
2020/2/17,31.9,0
2020/2/18,37.4,8.5
2020/2/19,55,2.4
2020/2/20,62.7,1.7
2020/2/21,53.9,30.8
2020/2/22,64.9,4.8
2020/2/23,73.7,7.9
2020/2/24,77,7.5
2020/2/25,50.6,71.5
2020/2/26,91.3,70.4
2020/2/27,80.3,3.5
2020/2/28,82.5,45.1
2020/2/29,24.2,517.1
2020/3/1,39.6,16.5
2020/3/2,41.8,76.2
2020/3/3,48.4,431.7
2020/3/4,83.6,215.3
2020/3/5,67.1,38.2
2020/3/6,44,543.6
2020/3/7,27.5,218.2
2020/3/8,31.9,752.4
2020/3/9,26.4,373
2020/3/10,60.5,16.4
2020/3/11,72.6,188.4
2020/3/12,57.2,549.4
2020/3/13,48.4,59.4
2020/3/14,60.5,14.4
2020/3/15,86.9,0
2020/3/16,94.6,39
2020/3/17,90.2,174
2020/3/18,88,130.4
2020/3/19,74.8,32.2
2020/3/20,99,30.6
2020/3/21,59.4,615.2
2020/3/22,30.8,291.6
2020/3/23,83.6,106.2
2020/3/24,72.6,213.8
2020/3/25,72.6,395.5
2020/3/26,48.4,627.5
2020/3/27,25.3,703.2
2020/3/28,25.3,90.9
2020/3/29,18.7,868.8
2020/3/30,31.9,111.1
2020/3/31,44,124.5
2020/4/1,47.3,13.6
2020/4/2,58.3,299.8
2020/4/3,77,428.4
2020/4/4,81.4,74
2020/4/5,90.2,31.5
2020/4/6,84.7,28.6
2020/4/7,83.6,24.8
2020/4/8,71.5,1.7
2020/4/9,94.6,0.3
2020/4/10,86.9,565.2
2020/4/11,37.4,468.1
2020/4/12,51.7,2.9
2020/4/13,66,0
2020/4/14,91.3,2.5
