date,Rain,AQI
2019-09-01,57.7,36
2019-09-02,25.3,23
2019-09-03,8.4,29
2019-09-04,11,39
2019-09-05,15.2,37
2019-09-06,27.4,40
2019-09-07,1.8,50
2019-09-08,0,52
2019-09-09,0,64
2019-09-10,0,71
2019-09-11,0,62
2019-09-12,2.4,59
2019-09-13,0,58
2019-09-14,0,53
2019-09-15,0.6,49
2019-09-16,2.4,54
2019-09-17,0,55
2019-09-18,0,55
2019-09-19,0,50
2019-09-20,0,54
2019-09-21,0,49
2019-09-22,3.9,45
2019-09-23,0,61
2019-09-24,0,59
2019-09-25,0,71
2019-09-26,0,73
2019-09-27,0,83
2019-09-28,0,83
2019-09-29,0,87
2019-09-30,0,78
2019-10-01,0,60
2019-10-02,0,45
2019-10-03,0,56
2019-10-04,0,72
2019-10-05,6.6,72
2019-10-06,3.9,51
2019-10-07,28.1,60
2019-10-08,0.6,59
2019-10-09,0,58
2019-10-10,0,65
2019-10-11,15.2,68
2019-10-12,36.5,84
2019-10-13,0.9,64
2019-10-14,0,57
2019-10-15,0,46
2019-10-16,0,53
2019-10-17,0,57
2019-10-18,0,63
2019-10-19,0,59
2019-10-20,0,65
2019-10-21,0,63
2019-10-22,0,64
2019-10-23,0,58
2019-10-24,0,63
2019-10-25,13.2,68
2019-10-26,12.3,56
2019-10-27,23.1,37
2019-10-28,7.4,40
2019-10-29,0,73
2019-10-30,0,97
2019-10-31,0,100
2019-11-01,0,93
2019-11-02,1.5,79
2019-11-03,0,78
2019-11-04,0,82
2019-11-05,0,63
2019-11-06,0,65
2019-11-07,0,72
2019-11-08,0,57
2019-11-09,0,62
2019-11-10,0,70
2019-11-11,0,66
2019-11-12,0,76
2019-11-13,0,87
2019-11-14,0,62
2019-11-15,0,69
2019-11-16,0,75
2019-11-17,0,74
2019-11-18,5.1,56
2019-11-19,0,56
2019-11-20,0,74
2019-11-21,0,63
2019-11-22,0,65
2019-11-23,0,65
2019-11-24,1.4,71
2019-11-25,2.3,40
2019-11-26,0.1,47
2019-11-27,3.5,54
2019-11-28,0,21
2019-11-29,0,50
2019-11-30,0,56
2019-12-01,0.3,56
2019-12-02,0,54
2019-12-03,0,71
2019-12-04,0,69
2019-12-05,0,63
2019-12-06,0,65
2019-12-07,0,60
2019-12-08,0,73
2019-12-09,0,79
2019-12-10,0,70
2019-12-11,0,73
2019-12-12,0,102
2019-12-13,0,90
2019-12-14,0,95
2019-12-15,0,111
2019-12-16,0,89
2019-12-17,0.8,89
2019-12-18,25.5,68
2019-12-19,38.8,21
2019-12-20,70.7,27
2019-12-21,46.4,20
2019-12-22,2.6,24
2019-12-23,35.1,40
2019-12-24,0.8,28
2019-12-25,26.5,41
2019-12-26,4.8,28
2019-12-27,0,47
2019-12-28,0.2,68
2019-12-29,0,75
2019-12-30,31.3,81
2019-12-31,0.2,60
2020-01-01,0.1,61
2020-01-02,1.6,76
2020-01-03,5.9,77
2020-01-04,0.8,76
2020-01-05,0,48
2020-01-06,0,50
2020-01-07,4.2,44
2020-01-08,0,38
2020-01-09,8.2,67
2020-01-10,30.4,49
2020-01-11,21.5,19
2020-01-12,0.3,30
2020-01-13,0,40
2020-01-14,1.9,57
2020-01-15,55.7,67
2020-01-16,9.6,19
2020-01-17,0,36
2020-01-18,10.2,47
2020-01-19,1.4,55
2020-01-20,0,69
2020-01-21,0,71
2020-01-22,10,72
2020-01-23,25.6,55
2020-01-24,44.2,28
2020-01-25,220.9,33
2020-01-26,56.1,16
2020-01-27,1.3,20
2020-01-28,2.5,34
2020-01-29,0,49
2020-01-30,1.2,62
2020-01-31,0,66
2020-02-01,0,56
2020-02-02,6.4,49
2020-02-03,2.4,40
2020-02-04,0,40
2020-02-05,0.6,39
2020-02-06,124.1,32
2020-02-07,0.6,17
2020-02-08,0.9,23
2020-02-09,0,29
2020-02-10,1.1,39
2020-02-11,31.9,45
2020-02-12,8.5,37
2020-02-13,20,29
2020-02-14,10.8,28
2020-02-15,194.3,21
2020-02-16,2.7,20
2020-02-17,0,32
2020-02-18,0,32
2020-02-19,0,44
2020-02-20,0,51
2020-02-21,3.8,44
2020-02-22,0,56
2020-02-23,0,61
2020-02-24,0,64
2020-02-25,7.1,50
2020-02-26,8.2,58
2020-02-27,0,35
2020-02-28,0.3,47
2020-02-29,35.8,69
2020-03-01,5.3,30
2020-03-02,10.4,29
2020-03-03,38.4,26
2020-03-04,26,30
2020-03-05,1.7,49
2020-03-06,102.4,44
2020-03-07,6.7,42
2020-03-08,130.8,44
2020-03-09,55.8,28
2020-03-10,5,47
2020-03-11,12.7,49
2020-03-12,72.6,54
2020-03-13,8.4,43
2020-03-14,2.4,52
2020-03-15,0,58
2020-03-16,3,66
2020-03-17,22.3,70
2020-03-18,0,54
2020-03-19,0,54
2020-03-20,1.8,64
2020-03-21,83.9,46
2020-03-22,36.9,46
2020-03-23,34.3,53
2020-03-24,35.7,54
2020-03-25,25.9,58
2020-03-26,67.1,50
2020-03-27,93.5,32
2020-03-28,16.4,20
2020-03-29,117.7,25
2020-03-30,11.4,22
2020-03-31,24,28
2020-04-01,0.1,32
2020-04-02,11,48
2020-04-03,7.8,52
2020-04-04,7.5,60
2020-04-05,0.7,78
2020-04-06,0,69
2020-04-07,0,56
2020-04-08,0,54
2020-04-09,0.3,60
2020-04-10,30.4,63
2020-04-11,61.6,50
2020-04-12,0.2,38
2020-04-13,0,54
2020-04-14,2.1,66
