date,Rain,AQI
2019-09-01,34.3,55
2019-09-02,38.2,27
2019-09-03,1.9,27
2019-09-04,0,37
2019-09-05,0,56
2019-09-06,0.3,46
2019-09-07,0,47
2019-09-08,0,69
2019-09-09,0,83
2019-09-10,0,72
2019-09-11,0,64
2019-09-12,0,85
2019-09-13,0,72
2019-09-14,0.6,69
2019-09-15,0,76
2019-09-16,0,44
2019-09-17,0,68
2019-09-18,0,62
2019-09-19,0,54
2019-09-20,0,49
2019-09-21,0,43
2019-09-22,0,53
2019-09-23,0,62
2019-09-24,0,55
2019-09-25,0,71
2019-09-26,0,71
2019-09-27,0,83
2019-09-28,0,88
2019-09-29,0,82
2019-09-30,0,85
2019-10-01,0,69
2019-10-02,0,68
2019-10-03,0,60
2019-10-04,0,82
2019-10-05,0.3,61
2019-10-06,0,47
2019-10-07,0,55
2019-10-08,0,39
2019-10-09,0,78
2019-10-10,0,75
2019-10-11,4.6,102
2019-10-12,0,78
2019-10-13,0,71
2019-10-14,0,59
2019-10-15,0,43
2019-10-16,0,51
2019-10-17,0,62
2019-10-18,0,71
2019-10-19,0,67
2019-10-20,0,71
2019-10-21,0,71
2019-10-22,0.1,78
2019-10-23,0.2,76
2019-10-24,0,63
2019-10-25,2.8,100
2019-10-26,0,83
2019-10-27,0,82
2019-10-28,0,70
2019-10-29,0,83
2019-10-30,0,98
2019-10-31,0,104
2019-11-01,0,96
2019-11-02,0,101
2019-11-03,0,115
2019-11-04,0,94
2019-11-05,0,66
2019-11-06,0,81
2019-11-07,0,84
2019-11-08,0,90
2019-11-09,0,89
2019-11-10,0,71
2019-11-11,0.1,65
2019-11-12,0.6,87
2019-11-13,2,80
2019-11-14,0,51
2019-11-15,0,60
2019-11-16,0,77
2019-11-17,10.2,109
2019-11-18,36.2,52
2019-11-19,0,77
2019-11-20,0,76
2019-11-21,0,73
2019-11-22,0,71
2019-11-23,0,73
2019-11-24,4.2,119
2019-11-25,11.5,34
2019-11-26,22.6,52
2019-11-27,20.8,26
2019-11-28,0,64
2019-11-29,0.5,54
2019-11-30,9.5,72
2019-12-01,0.6,94
2019-12-02,0,120
2019-12-03,0,83
2019-12-04,0,80
2019-12-05,0,71
2019-12-06,0,82
2019-12-07,0,77
2019-12-08,0,75
2019-12-09,0,74
2019-12-10,0,84
2019-12-11,0,100
2019-12-12,0,142
2019-12-13,0,116
2019-12-14,0,158
2019-12-15,0,156
2019-12-16,4.3,179
2019-12-17,12.4,91
2019-12-18,4.9,79
2019-12-19,3.8,28
2019-12-20,21.5,60
2019-12-21,25.7,87
2019-12-22,0,84
2019-12-23,19.2,85
2019-12-24,3.6,66
2019-12-25,32.2,43
2019-12-26,1.4,79
2019-12-27,0,91
2019-12-28,16.2,74
2019-12-29,10.8,80
2019-12-30,0,111
2019-12-31,0,89
2020-01-01,13.3,69
2020-01-02,6.5,113
2020-01-03,2.8,122
2020-01-04,0.3,96
2020-01-05,0,69
2020-01-06,2.7,104
2020-01-07,10.8,36
2020-01-08,14,59
2020-01-09,66.2,56
2020-01-10,70.1,50
2020-01-11,6.5,56
2020-01-12,0.2,61
2020-01-13,2.8,82
2020-01-14,0.9,127
2020-01-15,33.2,117
2020-01-16,0,83
2020-01-17,1.8,92
2020-01-18,0,72
2020-01-19,0,102
2020-01-20,0,100
2020-01-21,31.8,141
2020-01-22,122.3,67
2020-01-23,88.6,62
2020-01-24,70.2,59
2020-01-25,43.3,61
2020-01-26,18.8,18
2020-01-27,8.3,62
2020-01-28,0.4,79
2020-01-29,0,77
2020-01-30,0,88
2020-01-31,0,106
2020-02-01,0,95
2020-02-02,2.5,75
2020-02-03,0,78
2020-02-04,0,89
2020-02-05,17.2,77
2020-02-06,60.9,38
2020-02-07,0.7,27
2020-02-08,1.1,35
2020-02-09,0,46
2020-02-10,58.1,47
2020-02-11,64.4,31
2020-02-12,0,31
2020-02-13,10.1,25
2020-02-14,35.4,27
2020-02-15,133.1,21
2020-02-16,4.2,26
2020-02-17,0,31
2020-02-18,0,40
2020-02-19,0,50
2020-02-20,0.1,54
2020-02-21,2.6,64
2020-02-22,0,72
2020-02-23,0,68
2020-02-24,0,55
2020-02-25,11.6,78
2020-02-26,4.5,81
2020-02-27,0.3,92
2020-02-28,23.8,44
2020-02-29,19.9,28
2020-03-01,0,43
2020-03-02,14.3,52
2020-03-03,18.2,62
2020-03-04,0,79
2020-03-05,0.5,102
2020-03-06,20.1,49
2020-03-07,1.7,48
2020-03-08,22.1,75
2020-03-09,29.4,64
2020-03-10,0,82
2020-03-11,0.1,70
2020-03-12,4.1,62
2020-03-13,2.4,60
2020-03-14,0,57
2020-03-15,0,71
2020-03-16,0.5,80
2020-03-17,1.6,70
2020-03-18,0,69
2020-03-19,0,79
2020-03-20,0.1,78
2020-03-21,84.7,54
2020-03-22,8.4,53
2020-03-23,2,75
2020-03-24,0.4,62
2020-03-25,46.3,63
2020-03-26,27.1,41
2020-03-27,115.8,22
2020-03-28,10.1,23
2020-03-29,79.3,24
2020-03-30,3,31
2020-03-31,3.7,61
2020-04-01,0.3,52
2020-04-02,0.8,90
2020-04-03,4.2,65
2020-04-04,1,77
2020-04-05,0,95
2020-04-06,0,59
2020-04-07,0,57
2020-04-08,0,55
2020-04-09,0,60
2020-04-10,60.5,85
2020-04-11,17.4,35
2020-04-12,0,57
2020-04-13,0,55
2020-04-14,0,54
