date,Rain,AQI
2019-09-01,19.2,46
2019-09-02,18.1,25
2019-09-03,0.8,28
2019-09-04,0,34
2019-09-05,0,36
2019-09-06,0,45
2019-09-07,0,50
2019-09-08,0,58
2019-09-09,0,61
2019-09-10,0,64
2019-09-11,0,60
2019-09-12,0,67
2019-09-13,0,61
2019-09-14,0,59
2019-09-15,0,66
2019-09-16,0,57
2019-09-17,0,57
2019-09-18,0,66
2019-09-19,0,57
2019-09-20,0,54
2019-09-21,0,55
2019-09-22,0,57
2019-09-23,0,58
2019-09-24,0,54
2019-09-25,0,59
2019-09-26,0,67
2019-09-27,0,68
2019-09-28,0,79
2019-09-29,0,70
2019-09-30,0,71
2019-10-01,0,64
2019-10-02,0,49
2019-10-03,0,59
2019-10-04,0.2,80
2019-10-05,0,88
2019-10-06,0,47
2019-10-07,0,53
2019-10-08,0,50
2019-10-09,0,62
2019-10-10,0,80
2019-10-11,2.2,77
2019-10-12,1.2,61
2019-10-13,0,56
2019-10-14,0,67
2019-10-15,0,61
2019-10-16,0,56
2019-10-17,0,52
2019-10-18,0,59
2019-10-19,0,65
2019-10-20,0,71
2019-10-21,0,78
2019-10-22,8.7,76
2019-10-23,0,67
2019-10-24,0,63
2019-10-25,6.1,84
2019-10-26,6.4,85
2019-10-27,9.6,85
2019-10-28,0,73
2019-10-29,0,74
2019-10-30,0,118
2019-10-31,0,122
2019-11-01,0,102
2019-11-02,0,90
2019-11-03,0,88
2019-11-04,0,82
2019-11-05,0,64
2019-11-06,0,78
2019-11-07,0,74
2019-11-08,0,75
2019-11-09,0,79
2019-11-10,0,84
2019-11-11,0.1,96
2019-11-12,0.2,83
2019-11-13,0,63
2019-11-14,0,51
2019-11-15,0,78
2019-11-16,0,111
2019-11-17,5.4,108
2019-11-18,4.5,51
2019-11-19,0,73
2019-11-20,0,74
2019-11-21,0,71
2019-11-22,0,77
2019-11-23,0,90
2019-11-24,0.4,107
2019-11-25,2.9,86
2019-11-26,1.7,44
2019-11-27,2.5,33
2019-11-28,0,61
2019-11-29,0,54
2019-11-30,1.4,68
2019-12-01,0.3,62
2019-12-02,0,99
2019-12-03,0,80
2019-12-04,0,69
2019-12-05,0,62
2019-12-06,0,87
2019-12-07,0,73
2019-12-08,0,81
2019-12-09,0,103
2019-12-10,0,127
2019-12-11,0,112
2019-12-12,0,80
2019-12-13,0,132
2019-12-14,0,111
2019-12-15,0,144
2019-12-16,0.3,115
2019-12-17,0.6,122
2019-12-18,3.3,71
2019-12-19,22,23
2019-12-20,53.4,46
2019-12-21,11.5,50
2019-12-22,0.5,47
2019-12-23,15.8,55
2019-12-24,0,57
2019-12-25,13.6,45
2019-12-26,0,58
2019-12-27,0,92
2019-12-28,3.1,80
2019-12-29,0,81
2019-12-30,9.6,70
2019-12-31,0,96
2020-01-01,0.3,63
2020-01-02,3.2,86
2020-01-03,2.8,100
2020-01-04,0,63
2020-01-05,0,69
2020-01-06,2,83
2020-01-07,23.2,48
2020-01-08,0,49
2020-01-09,11.6,56
2020-01-10,30.7,35
2020-01-11,4.1,23
2020-01-12,0,44
2020-01-13,0,56
2020-01-14,1.7,102
2020-01-15,23.6,98
2020-01-16,0.3,47
2020-01-17,0,84
2020-01-18,4.7,65
2020-01-19,0,79
2020-01-20,0,96
2020-01-21,1.6,97
2020-01-22,21.1,58
2020-01-23,38.7,35
2020-01-24,66.5,40
2020-01-25,99,57
2020-01-26,0.9,16
2020-01-27,0.3,38
2020-01-28,0,53
2020-01-29,0,69
2020-01-30,0,66
2020-01-31,0,85
2020-02-01,0,74
2020-02-02,20.4,75
2020-02-03,0.6,53
2020-02-04,0.3,43
2020-02-05,17.2,49
2020-02-06,109.2,35
2020-02-07,0,19
2020-02-08,0,34
2020-02-09,0,35
2020-02-10,7.2,43
2020-02-11,43.9,46
2020-02-12,8.7,28
2020-02-13,7.6,31
2020-02-14,22.8,27
2020-02-15,84.1,19
2020-02-16,0,25
2020-02-17,0,29
2020-02-18,0,34
2020-02-19,0,50
2020-02-20,0,57
2020-02-21,6.9,49
2020-02-22,0,59
2020-02-23,0,67
2020-02-24,0.9,70
2020-02-25,13.7,46
2020-02-26,5.1,83
2020-02-27,0,73
2020-02-28,4.6,75
2020-02-29,69.8,22
2020-03-01,0,36
2020-03-02,3.7,38
2020-03-03,38,44
2020-03-04,8.7,76
2020-03-05,12.2,61
2020-03-06,104.4,40
2020-03-07,13.7,25
2020-03-08,61.6,29
2020-03-09,9.3,24
2020-03-10,0,55
2020-03-11,14.2,66
2020-03-12,44.4,52
2020-03-13,0,44
2020-03-14,0,55
2020-03-15,0,79
2020-03-16,3.7,86
2020-03-17,8.8,82
2020-03-18,0,80
2020-03-19,0,68
2020-03-20,1.5,90
2020-03-21,86.8,54
2020-03-22,18.2,28
2020-03-23,0,76
2020-03-24,0.1,66
2020-03-25,63.9,66
2020-03-26,14.3,44
2020-03-27,37.7,23
2020-03-28,2.6,23
2020-03-29,127.5,17
2020-03-30,1.7,29
2020-03-31,1.5,40
2020-04-01,0,43
2020-04-02,12.4,53
2020-04-03,14,70
2020-04-04,4.8,74
2020-04-05,0,82
2020-04-06,0,77
2020-04-07,0,76
2020-04-08,0,65
2020-04-09,0,86
2020-04-10,82.2,79
2020-04-11,1.8,34
2020-04-12,0.2,47
2020-04-13,0,60
2020-04-14,0,83
