date,Rain,AQI
2019-09-01,66.8,57
2019-09-02,11.4,43
2019-09-03,4.8,44
2019-09-04,1.1,48
2019-09-05,6.5,49
2019-09-06,0,52
2019-09-07,0,65
2019-09-08,0,64
2019-09-09,1.2,62
2019-09-10,8.6,58
2019-09-11,0,54
2019-09-12,0,66
2019-09-13,0,70
2019-09-14,20.8,72
2019-09-15,0,60
2019-09-16,0.3,58
2019-09-17,0,56
2019-09-18,0,61
2019-09-19,0,55
2019-09-20,0,62
2019-09-21,0,53
2019-09-22,0,53
2019-09-23,0,62
2019-09-24,0,68
2019-09-25,0,72
2019-09-26,0,77
2019-09-27,0,74
2019-09-28,0,73
2019-09-29,0,85
2019-09-30,0,81
2019-10-01,0,75
2019-10-02,0,84
2019-10-03,0,84
2019-10-04,0,79
2019-10-05,1.6,75
2019-10-06,0.4,66
2019-10-07,0,71
2019-10-08,0,60
2019-10-09,0,56
2019-10-10,0,69
2019-10-11,20.7,88
2019-10-12,9,66
2019-10-13,0,56
2019-10-14,0,62
2019-10-15,0,56
2019-10-16,0,56
2019-10-17,0,55
2019-10-18,0,50
2019-10-19,0,63
2019-10-20,0,67
2019-10-21,0,68
2019-10-22,0,68
2019-10-23,0,68
2019-10-24,0,77
2019-10-25,4.6,76
2019-10-26,3,57
2019-10-27,16.2,58
2019-10-28,5.1,52
2019-10-29,0,59
2019-10-30,0,86
2019-10-31,0,98
2019-11-01,0,89
2019-11-02,0,93
2019-11-03,0,83
2019-11-04,0,85
2019-11-05,0,61
2019-11-06,0,76
2019-11-07,0,68
2019-11-08,0,65
2019-11-09,0,71
2019-11-10,0,75
2019-11-11,0,82
2019-11-12,0,83
2019-11-13,0,78
2019-11-14,0,59
2019-11-15,0,71
2019-11-16,0,86
2019-11-17,10.9,86
2019-11-18,0,55
2019-11-19,0,65
2019-11-20,0,72
2019-11-21,0,80
2019-11-22,0,84
2019-11-23,0,89
2019-11-24,0.3,92
2019-11-25,2.4,74
2019-11-26,0.3,47
2019-11-27,5.4,46
2019-11-28,0,36
2019-11-29,0,58
2019-11-30,0,62
2019-12-01,0.9,49
2019-12-02,0,68
2019-12-03,0,73
2019-12-04,0,70
2019-12-05,0,67
2019-12-06,0,65
2019-12-07,0,71
2019-12-08,0,73
2019-12-09,0,75
2019-12-10,0,76
2019-12-11,0,85
2019-12-12,0,95
2019-12-13,0,97
2019-12-14,0,98
2019-12-15,0,93
2019-12-16,0,69
2019-12-17,0,73
2019-12-18,10.7,72
2019-12-19,23.3,30
2019-12-20,48.8,33
2019-12-21,27.8,24
2019-12-22,1.7,32
2019-12-23,6.4,43
2019-12-24,0.4,40
2019-12-25,5.3,56
2019-12-26,2,36
2019-12-27,0,70
2019-12-28,0,75
2019-12-29,0,81
2019-12-30,29.1,83
2019-12-31,2.6,80
2020-01-01,0,67
2020-01-02,0.8,71
2020-01-03,0.4,75
2020-01-04,0,78
2020-01-05,0,71
2020-01-06,0,70
2020-01-07,2.1,35
2020-01-08,0,48
2020-01-09,0,60
2020-01-10,5,53
2020-01-11,25.7,26
2020-01-12,0,39
2020-01-13,2,49
2020-01-14,38.1,59
2020-01-15,81.8,54
2020-01-16,13.1,25
2020-01-17,1,51
2020-01-18,2.4,53
2020-01-19,0,54
2020-01-20,0.3,56
2020-01-21,0,66
2020-01-22,0,74
2020-01-23,12.1,51
2020-01-24,17.4,27
2020-01-25,194.6,37
2020-01-26,4.7,18
2020-01-27,0.5,34
2020-01-28,0.9,38
2020-01-29,0,44
2020-01-30,0,51
2020-01-31,0,53
2020-02-01,0.6,62
2020-02-02,17.8,66
2020-02-03,35.9,57
2020-02-04,0.4,49
2020-02-05,31,45
2020-02-06,128.3,28
2020-02-07,0.2,23
2020-02-08,0.9,29
2020-02-09,0,34
2020-02-10,0.8,37
2020-02-11,15.9,50
2020-02-12,19.3,42
2020-02-13,8.8,29
2020-02-14,31.1,21
2020-02-15,178,18
2020-02-16,5.6,27
2020-02-17,0,31
2020-02-18,0,36
2020-02-19,0,45
2020-02-20,0,52
2020-02-21,0.5,54
2020-02-22,0,58
2020-02-23,0,57
2020-02-24,0,59
2020-02-25,0,47
2020-02-26,6.6,54
2020-02-27,0,56
2020-02-28,0.6,47
2020-02-29,47.3,65
2020-03-01,0.2,29
2020-03-02,7.3,35
2020-03-03,77.6,32
2020-03-04,26.4,49
2020-03-05,0.2,49
2020-03-06,23.5,45
2020-03-07,40.8,24
2020-03-08,124,27
2020-03-09,64.5,27
2020-03-10,1.1,39
2020-03-11,44,53
2020-03-12,88.5,34
2020-03-13,5.3,42
2020-03-14,0,58
2020-03-15,0,66
2020-03-16,8.3,70
2020-03-17,45.4,62
2020-03-18,45.6,52
2020-03-19,0.2,49
2020-03-20,2.1,40
2020-03-21,1.7,41
2020-03-22,21.2,38
2020-03-23,15.9,43
2020-03-24,9.2,57
2020-03-25,19.5,47
2020-03-26,112.8,38
2020-03-27,48.7,34
2020-03-28,5.1,23
2020-03-29,78.1,19
2020-03-30,16.2,20
2020-03-31,3.7,34
2020-04-01,3.7,39
2020-04-02,54.2,45
2020-04-03,49.4,31
2020-04-04,11.3,58
2020-04-05,1.2,66
2020-04-06,0,67
2020-04-07,0,62
2020-04-08,0,61
2020-04-09,0,67
2020-04-10,89,79
2020-04-11,101.1,39
2020-04-12,0.2,37
2020-04-13,0,50
2020-04-14,0,57
