date,Rain,AQI
2019-09-01,2.7,40
2019-09-02,2,24
2019-09-03,3.3,29
2019-09-04,2,33
2019-09-05,4.2,37
2019-09-06,3.5,49
2019-09-07,7.8,57
2019-09-08,1.1,57
2019-09-09,1.6,60
2019-09-10,0.6,61
2019-09-11,3,64
2019-09-12,2.6,66
2019-09-13,1.2,70
2019-09-14,3.3,61
2019-09-15,2,62
2019-09-16,5.4,58
2019-09-17,0.2,54
2019-09-18,0,57
2019-09-19,0,49
2019-09-20,0,50
2019-09-21,0,45
2019-09-22,0.8,43
2019-09-23,0,57
2019-09-24,0,59
2019-09-25,0,66
2019-09-26,0,71
2019-09-27,0,73
2019-09-28,0,80
2019-09-29,0,83
2019-09-30,2.9,72
2019-10-01,0,67
2019-10-02,0,62
2019-10-03,2.7,67
2019-10-04,9.9,71
2019-10-05,1.2,79
2019-10-06,1.6,48
2019-10-07,0,54
2019-10-08,3.3,42
2019-10-09,1.1,53
2019-10-10,0.3,64
2019-10-11,1.2,77
2019-10-12,4.7,61
2019-10-13,2.4,57
2019-10-14,0.9,58
2019-10-15,1.8,47
2019-10-16,0,51
2019-10-17,1.4,51
2019-10-18,0.9,53
2019-10-19,0.1,59
2019-10-20,0,61
2019-10-21,0,63
2019-10-22,0,62
2019-10-23,0,60
2019-10-24,0,67
2019-10-25,0,65
2019-10-26,0,57
2019-10-27,1.7,58
2019-10-28,2.8,66
2019-10-29,0,58
2019-10-30,0,91
2019-10-31,0,99
2019-11-01,0,91
2019-11-02,0,80
2019-11-03,0,82
2019-11-04,0,79
2019-11-05,0,58
2019-11-06,0,65
2019-11-07,2.3,68
2019-11-08,0.7,61
2019-11-09,0.5,63
2019-11-10,0,66
2019-11-11,0,68
2019-11-12,0,67
2019-11-13,0.1,61
2019-11-14,0.2,53
2019-11-15,0,63
2019-11-16,0,70
2019-11-17,0,62
2019-11-18,0.9,58
2019-11-19,0,62
2019-11-20,0,72
2019-11-21,0,68
2019-11-22,0.3,65
2019-11-23,0.6,70
2019-11-24,1.5,80
2019-11-25,0.9,47
2019-11-26,0,39
2019-11-27,0,34
2019-11-28,0.3,29
2019-11-29,0,50
2019-11-30,0.3,58
2019-12-01,4.1,48
2019-12-02,0.6,76
2019-12-03,0,75
2019-12-04,0,63
2019-12-05,27.5,60
2019-12-06,2.7,67
2019-12-07,0,59
2019-12-08,0,68
2019-12-09,0,64
2019-12-10,0,66
2019-12-11,0,82
2019-12-12,0,95
2019-12-13,0,92
2019-12-14,0,98
2019-12-15,0,85
2019-12-16,0,57
2019-12-17,0,86
2019-12-18,0,47
2019-12-19,0.1,22
2019-12-20,0,29
2019-12-21,0,21
2019-12-22,1.9,36
2019-12-23,0.3,41
2019-12-24,0.3,36
2019-12-25,0,44
2019-12-26,3.4,39
2019-12-27,0.2,63
2019-12-28,0,65
2019-12-29,17.4,70
2019-12-30,4.4,61
2019-12-31,0.6,74
2020-01-01,0,60
2020-01-02,0,60
2020-01-03,0,87
2020-01-04,0,60
2020-01-05,0,59
2020-01-06,0,57
2020-01-07,0,36
2020-01-08,0.3,40
2020-01-09,0,53
2020-01-10,0,35
2020-01-11,1.6,23
2020-01-12,1.7,38
2020-01-13,0,41
2020-01-14,0.1,61
2020-01-15,0.3,64
2020-01-16,0.3,33
2020-01-17,0.8,66
2020-01-18,0.9,46
2020-01-19,0,66
2020-01-20,0,73
2020-01-21,0,84
2020-01-22,0,62
2020-01-23,0,41
2020-01-24,0,29
2020-01-25,35.6,55
2020-01-26,20.9,17
2020-01-27,0.5,32
2020-01-28,1,53
2020-01-29,0,62
2020-01-30,0,60
2020-01-31,0,68
2020-02-01,0,69
2020-02-02,0,69
2020-02-03,2.7,51
2020-02-04,4.2,36
2020-02-05,1,40
2020-02-06,3.2,27
2020-02-07,0.2,20
2020-02-08,0.5,27
2020-02-09,0,38
2020-02-10,0,36
2020-02-11,0,52
2020-02-12,17.9,45
2020-02-13,10.2,23
2020-02-14,63.3,18
2020-02-15,9.7,20
2020-02-16,1.5,28
2020-02-17,0,34
2020-02-18,0,36
2020-02-19,0,45
2020-02-20,0,56
2020-02-21,0,62
2020-02-22,0,50
2020-02-23,0,60
2020-02-24,0,56
2020-02-25,0,41
2020-02-26,0,66
2020-02-27,0,42
2020-02-28,0,58
2020-02-29,0.6,36
2020-03-01,5.3,28
2020-03-02,0.3,30
2020-03-03,20.6,26
2020-03-04,29.4,38
2020-03-05,0.2,43
2020-03-06,3.2,28
2020-03-07,26.1,27
2020-03-08,2.8,31
2020-03-09,11.7,24
2020-03-10,5.7,50
2020-03-11,11.7,50
2020-03-12,11.9,40
2020-03-13,10.1,39
2020-03-14,2.3,48
2020-03-15,0,66
2020-03-16,0,71
2020-03-17,5.5,70
2020-03-18,1.1,48
2020-03-19,18.6,49
2020-03-20,0.2,47
2020-03-21,0,36
2020-03-22,6.6,32
2020-03-23,1.6,64
2020-03-24,16.5,58
2020-03-25,0,39
2020-03-26,0.9,36
2020-03-27,63.1,24
2020-03-28,13,22
2020-03-29,1.5,19
2020-03-30,12.3,20
2020-03-31,5.1,26
2020-04-01,0.5,37
2020-04-02,13.6,42
2020-04-03,48.4,40
2020-04-04,0,53
2020-04-05,0.1,69
2020-04-06,1.4,67
2020-04-07,0,52
2020-04-08,0,56
2020-04-09,0,60
2020-04-10,0,63
2020-04-11,5.2,35
2020-04-12,2.3,42
2020-04-13,0,49
2020-04-14,0.4,56
