date,Rain,AQI
2019-09-01,26.1,57
2019-09-02,59.7,34
2019-09-03,4.3,38
2019-09-04,0.9,36
2019-09-05,0.3,41
2019-09-06,0,48
2019-09-07,0,61
2019-09-08,0,64
2019-09-09,0,63
2019-09-10,3.8,67
2019-09-11,0,70
2019-09-12,0,67
2019-09-13,0,66
2019-09-14,10.2,59
2019-09-15,3.9,59
2019-09-16,1.5,56
2019-09-17,0,55
2019-09-18,0,57
2019-09-19,0,51
2019-09-20,0,49
2019-09-21,0,45
2019-09-22,0,47
2019-09-23,0,55
2019-09-24,0,57
2019-09-25,0,57
2019-09-26,0,67
2019-09-27,0,63
2019-09-28,0,77
2019-09-29,0,81
2019-09-30,0,71
2019-10-01,0,72
2019-10-02,0,78
2019-10-03,0,71
2019-10-04,0,83
2019-10-05,0,90
2019-10-06,0,60
2019-10-07,0,72
2019-10-08,0,59
2019-10-09,0,56
2019-10-10,0,73
2019-10-11,12.1,88
2019-10-12,2.6,63
2019-10-13,0,47
2019-10-14,0,58
2019-10-15,0,54
2019-10-16,0,51
2019-10-17,0,47
2019-10-18,0,50
2019-10-19,0,62
2019-10-20,0,68
2019-10-21,0,67
2019-10-22,1.3,69
2019-10-23,0.2,63
2019-10-24,0,69
2019-10-25,15.2,63
2019-10-26,5.1,57
2019-10-27,10.6,64
2019-10-28,0,49
2019-10-29,0,63
2019-10-30,0,94
2019-10-31,0,97
2019-11-01,0,93
2019-11-02,1.2,85
2019-11-03,0.6,83
2019-11-04,0,83
2019-11-05,0,59
2019-11-06,0,68
2019-11-07,0,64
2019-11-08,0,62
2019-11-09,0,72
2019-11-10,0,70
2019-11-11,0,78
2019-11-12,0,80
2019-11-13,0,66
2019-11-14,0,55
2019-11-15,0,70
2019-11-16,0,83
2019-11-17,59.1,87
2019-11-18,4.4,33
2019-11-19,0,64
2019-11-20,0,73
2019-11-21,0,75
2019-11-22,0,73
2019-11-23,0,83
2019-11-24,0,87
2019-11-25,0.6,53
2019-11-26,3.3,45
2019-11-27,5.4,39
2019-11-28,0,38
2019-11-29,0,55
2019-11-30,0.3,61
2019-12-01,0.8,42
2019-12-02,0,61
2019-12-03,0,75
2019-12-04,0,75
2019-12-05,0,64
2019-12-06,0,62
2019-12-07,0,69
2019-12-08,0,71
2019-12-09,0,80
2019-12-10,0,80
2019-12-11,0,80
2019-12-12,0,89
2019-12-13,0,109
2019-12-14,0,116
2019-12-15,0,117
2019-12-16,0,113
2019-12-17,1.5,109
2019-12-18,23.2,63
2019-12-19,37.7,30
2019-12-20,57.3,36
2019-12-21,38.2,27
2019-12-22,6.8,28
2019-12-23,17.9,46
2019-12-24,0.9,43
2019-12-25,30.9,59
2019-12-26,0.2,33
2019-12-27,0,85
2019-12-28,0,74
2019-12-29,0,82
2019-12-30,5,70
2019-12-31,0.2,75
2020-01-01,0,66
2020-01-02,6.8,69
2020-01-03,2.1,69
2020-01-04,0.2,74
2020-01-05,0,68
2020-01-06,0,69
2020-01-07,11.4,43
2020-01-08,0,45
2020-01-09,3.1,56
2020-01-10,11.8,40
2020-01-11,9,26
2020-01-12,0,45
2020-01-13,0,50
2020-01-14,12.6,62
2020-01-15,35.8,56
2020-01-16,2.4,26
2020-01-17,0.9,54
2020-01-18,5.9,51
2020-01-19,0,60
2020-01-20,1.2,64
2020-01-21,2.2,73
2020-01-22,15.4,65
2020-01-23,29.6,31
2020-01-24,62.3,20
2020-01-25,178.3,34
2020-01-26,10.6,19
2020-01-27,2,32
2020-01-28,2,39
2020-01-29,0,49
2020-01-30,0,51
2020-01-31,0,57
2020-02-01,0.3,66
2020-02-02,23.7,56
2020-02-03,5.5,47
2020-02-04,0.9,44
2020-02-05,16,41
2020-02-06,107.1,28
2020-02-07,0.2,18
2020-02-08,0.3,28
2020-02-09,0,26
2020-02-10,3,43
2020-02-11,28,45
2020-02-12,16.2,47
2020-02-13,9.2,31
2020-02-14,25,29
2020-02-15,199.3,22
2020-02-16,5.4,24
2020-02-17,0,31
2020-02-18,0,36
2020-02-19,0,51
2020-02-20,0,50
2020-02-21,2.3,51
2020-02-22,0,52
2020-02-23,0,59
2020-02-24,0,61
2020-02-25,5.4,42
2020-02-26,2.7,60
2020-02-27,0,49
2020-02-28,0,54
2020-02-29,98.8,47
2020-03-01,0,30
2020-03-02,1.1,33
2020-03-03,44.4,24
2020-03-04,6.4,44
2020-03-05,8.2,53
2020-03-06,54.1,31
2020-03-07,20.7,31
2020-03-08,61.1,40
2020-03-09,29.9,23
2020-03-10,0,35
2020-03-11,35,59
2020-03-12,87,31
2020-03-13,3,49
2020-03-14,0.3,56
2020-03-15,0,63
2020-03-16,5.8,73
2020-03-17,15,69
2020-03-18,0,56
2020-03-19,0,49
2020-03-20,10,50
2020-03-21,36.4,48
2020-03-22,30.7,40
2020-03-23,9.6,68
2020-03-24,4.1,64
2020-03-25,33.6,59
2020-03-26,48,43
2020-03-27,22.2,29
2020-03-28,10.3,23
2020-03-29,91.7,27
2020-03-30,8.1,27
2020-03-31,6.8,33
2020-04-01,1.6,41
2020-04-02,50.3,46
2020-04-03,29.5,50
2020-04-04,0,57
2020-04-05,0,69
2020-04-06,0,78
2020-04-07,0,67
2020-04-08,0,63
2020-04-09,0,68
2020-04-10,77.2,72
2020-04-11,65,31
2020-04-12,0,36
2020-04-13,0,48
2020-04-14,0,57
