date,Rain,AQI
2019-09-01,35.4,25
2019-09-02,59.2,15
2019-09-03,2.1,20
2019-09-04,6.5,18
2019-09-05,6.9,20
2019-09-06,1.5,32
2019-09-07,0,40
2019-09-08,0,47
2019-09-09,0,54
2019-09-10,0,58
2019-09-11,0,57
2019-09-12,0,58
2019-09-13,0,50
2019-09-14,0,44
2019-09-15,0.3,50
2019-09-16,0.6,45
2019-09-17,0,43
2019-09-18,0,49
2019-09-19,0,48
2019-09-20,0,41
2019-09-21,0,41
2019-09-22,0,46
2019-09-23,0,60
2019-09-24,0,51
2019-09-25,0,57
2019-09-26,0,65
2019-09-27,0,73
2019-09-28,0,77
2019-09-29,0,61
2019-09-30,0,58
2019-10-01,0,54
2019-10-02,0,35
2019-10-03,0,59
2019-10-04,0,66
2019-10-05,9.3,59
2019-10-06,0,37
2019-10-07,4.8,52
2019-10-08,0,36
2019-10-09,0,42
2019-10-10,0,62
2019-10-11,3,79
2019-10-12,0.3,70
2019-10-13,0.2,53
2019-10-14,0,52
2019-10-15,0,37
2019-10-16,0,47
2019-10-17,0,49
2019-10-18,0,51
2019-10-19,0,52
2019-10-20,0,56
2019-10-21,0,59
2019-10-22,0,60
2019-10-23,0,55
2019-10-24,0,56
2019-10-25,1.1,59
2019-10-26,1.9,45
2019-10-27,4.5,35
2019-10-28,0,49
2019-10-29,0,86
2019-10-30,0,112
2019-10-31,0,91
2019-11-01,0,79
2019-11-02,0,74
2019-11-03,0,80
2019-11-04,0,71
2019-11-05,0,60
2019-11-06,0,61
2019-11-07,0,61
2019-11-08,0,59
2019-11-09,0,61
2019-11-10,0,71
2019-11-11,0,74
2019-11-12,0,59
2019-11-13,0.9,52
2019-11-14,0,52
2019-11-15,0,60
2019-11-16,0,70
2019-11-17,3.4,75
2019-11-18,19.9,36
2019-11-19,0,55
2019-11-20,0,59
2019-11-21,0,56
2019-11-22,0,59
2019-11-23,0,61
2019-11-24,6.5,68
2019-11-25,7.9,29
2019-11-26,0.7,23
2019-11-27,5.3,23
2019-11-28,0,20
2019-11-29,0,41
2019-11-30,5.6,53
2019-12-01,3.4,38
2019-12-02,0,75
2019-12-03,0,63
2019-12-04,0,63
2019-12-05,0,62
2019-12-06,0,61
2019-12-07,0,58
2019-12-08,0,64
2019-12-09,0,75
2019-12-10,0,78
2019-12-11,0,81
2019-12-12,0,72
2019-12-13,0,81
2019-12-14,0,80
2019-12-15,0,73
2019-12-16,0,76
2019-12-17,2.6,95
2019-12-18,13.4,24
2019-12-19,18,13
2019-12-20,37.5,20
2019-12-21,42.7,20
2019-12-22,0,41
2019-12-23,22.6,38
2019-12-24,0,25
2019-12-25,30,20
2019-12-26,0,26
2019-12-27,0,51
2019-12-28,1.5,57
2019-12-29,0,56
2019-12-30,1.3,50
2019-12-31,0,57
2020-01-01,1.7,49
2020-01-02,5.8,44
2020-01-03,6.6,57
2020-01-04,0.2,45
2020-01-05,0,42
2020-01-06,0,45
2020-01-07,11.1,37
2020-01-08,0,40
2020-01-09,23.7,40
2020-01-10,55.3,19
2020-01-11,4.3,17
2020-01-12,0.3,35
2020-01-13,1.3,37
2020-01-14,1.7,46
2020-01-15,42.1,55
2020-01-16,3.2,18
2020-01-17,0.6,20
2020-01-18,1.3,25
2020-01-19,0,68
2020-01-20,0,73
2020-01-21,2.3,61
2020-01-22,57.5,31
2020-01-23,99.8,13
2020-01-24,56.6,13
2020-01-25,145.8,22
2020-01-26,34.3,13
2020-01-27,0,16
2020-01-28,0.3,33
2020-01-29,0,46
2020-01-30,0.9,65
2020-01-31,0,62
2020-02-01,0,45
2020-02-02,3.8,42
2020-02-03,0.3,28
2020-02-04,0,26
2020-02-05,5.3,33
2020-02-06,71.7,26
2020-02-07,0.6,16
2020-02-08,0.6,16
2020-02-09,0,22
2020-02-10,32.1,33
2020-02-11,107.9,18
2020-02-12,1.6,26
2020-02-13,23.6,14
2020-02-14,5.4,13
2020-02-15,112.3,15
2020-02-16,0,24
2020-02-17,0,31
2020-02-18,0,30
2020-02-19,0,42
2020-02-20,0,47
2020-02-21,0,47
2020-02-22,0,47
2020-02-23,0,55
2020-02-24,0.6,49
2020-02-25,12.7,48
2020-02-26,16.3,46
2020-02-27,0.4,21
2020-02-28,13.8,46
2020-02-29,80.4,36
2020-03-01,0.2,22
2020-03-02,4.3,26
2020-03-03,24.6,19
2020-03-04,0.7,32
2020-03-05,0.8,49
2020-03-06,48.5,33
2020-03-07,7.2,21
2020-03-08,106.1,21
2020-03-09,29.8,18
2020-03-10,0,56
2020-03-11,1,46
2020-03-12,11.2,54
2020-03-13,0.6,45
2020-03-14,0,48
2020-03-15,0,73
2020-03-16,0.8,76
2020-03-17,3.4,65
2020-03-18,0,81
2020-03-19,0,72
2020-03-20,0.1,73
2020-03-21,216.3,65
2020-03-22,52,35
2020-03-23,3.8,49
2020-03-24,0,51
2020-03-25,139.9,45
2020-03-26,70.2,38
2020-03-27,96.9,20
2020-03-28,11.7,20
2020-03-29,130.3,16
2020-03-30,11.1,17
2020-03-31,13.4,22
2020-04-01,0.6,36
2020-04-02,2.1,38
2020-04-03,11.6,57
2020-04-04,0.7,53
2020-04-05,0,65
2020-04-06,0,61
2020-04-07,0,59
2020-04-08,0,62
2020-04-09,0,64
2020-04-10,36.4,69
2020-04-11,8,31
2020-04-12,0,49
2020-04-13,0,63
2020-04-14,0,65
