ID,城市编码,位置编码,控制等级,创建时间,同步时间,px,pz,px',pz'
4,City3,1001A,nationLevel,00:00.0,36:56.8,-2012.354,-1394.314,-201.2354,-139.4314
5,City3,1002A,nationLevel,00:00.0,36:56.8,-1831.292,-888.76,-183.1292,-88.876
6,City3,1003A,nationLevel,00:00.0,36:56.8,-1638.563,-1636.542,-163.8563,-163.6542
7,City3,1004A,nationLevel,00:00.0,36:56.8,-1766.634,-2076.154,-176.6634,-207.6154
8,City3,1005A,nationLevel,00:00.0,36:56.8,-1127.210 ,-1911.158,-112.721,-191.1158
9,City3,1006A,nationLevel,00:00.0,36:56.8,-654.279,-2515.929,-65.4279,-251.5929
1,City3,1007A,nationLevel,00:00.0,36:56.8,-543.466,-1951.312,-54.3466,-195.1312
2,City3,1008A,nationLevel,00:00.0,36:56.8,-499.767,-1475.643,-49.9767,-147.5643
3,City3,1009A,nationLevel,00:00.0,36:56.8,94.040 ,-1300.998,9.404,-130.0998
11,City5,1010A,nationLevel,00:00.0,36:56.8,1474.694,-2614.301,147.4694,-261.4301
12,City5,1011A,nationLevel,00:00.0,36:56.8,2729.329,-2173.377,272.9329,-217.3377
13,City5,1012A,nationLevel,00:00.0,36:56.8,3011.989,-3374.984,301.1989,-337.4984
15,City5,1013A,nationLevel,00:00.0,36:56.8,2890.801,-1395.491,289.0801,-139.5491
14,City5,1014A,nationLevel,00:00.0,36:56.8,3546.376,-1983.985,354.6376,-198.3985
16,City10,1015A,nationLevel,00:00.0,36:56.8,-1423.506,-1235.730 ,-142.3506,-123.573
17,City10,1016A,nationLevel,00:00.0,36:56.8,-1046.090 ,-1177.382,-104.609,-117.7382
19,City10,1017A,nationLevel,00:00.0,36:56.8,-1197.912,-962.730 ,-119.7912,-96.273
18,City10,1018A,nationLevel,00:00.0,36:56.8,-1467.909,-777.550 ,-146.7909,-77.755
20,City10,1019A,nationLevel,00:00.0,36:56.8,-809.961,-979.598,-80.9961,-97.9598
22,City1,1020A,nationLevel,NULL,36:56.8,-46.006,-2592.17,-4.6006,-259.217
23,City1,1021A,nationLevel,NULL,36:56.8,372.255,-2720.025,37.2255,-272.0025
24,City1,1022A,nationLevel,NULL,36:56.8,616.396,-2858.389,61.6396,-285.8389
25,City1,1023A,nationLevel,NULL,36:56.8,15.688,-2240.345,1.5688,-224.0345
26,City1,1024A,nationLevel,NULL,36:56.8,347.855,-2371.245,34.7855,-237.1245
