date,Rain,AQI
2019-09-01,24.5,55
2019-09-02,46.7,30
2019-09-03,0.8,33
2019-09-04,0,42
2019-09-05,2.7,46
2019-09-06,0.6,55
2019-09-07,0,80
2019-09-08,0.9,74
2019-09-09,3.2,71
2019-09-10,14.7,69
2019-09-11,2.2,65
2019-09-12,0,65
2019-09-13,0,58
2019-09-14,32.5,58
2019-09-15,43.1,62
2019-09-16,25.8,66
2019-09-17,1.9,60
2019-09-18,7.2,63
2019-09-19,0,68
2019-09-20,0,68
2019-09-21,0,53
2019-09-22,0,55
2019-09-23,0,61
2019-09-24,0,70
2019-09-25,0,68
2019-09-26,0,78
2019-09-27,0,74
2019-09-28,0,74
2019-09-29,0,80
2019-09-30,0,74
2019-10-01,0,75
2019-10-02,0,79
2019-10-03,0,84
2019-10-04,0,79
2019-10-05,3.9,90
2019-10-06,0,66
2019-10-07,0,46
2019-10-08,0,62
2019-10-09,0,68
2019-10-10,0,71
2019-10-11,10.4,80
2019-10-12,2.2,42
2019-10-13,0.6,45
2019-10-14,0.1,49
2019-10-15,0,52
2019-10-16,3.3,53
2019-10-17,1.3,48
2019-10-18,0,67
2019-10-19,0,68
2019-10-20,0,75
2019-10-21,0,72
2019-10-22,2.4,77
2019-10-23,1.2,72
2019-10-24,0.6,74
2019-10-25,49.4,60
2019-10-26,11.6,39
2019-10-27,23,37
2019-10-28,0,64
2019-10-29,0,68
2019-10-30,0,90
2019-10-31,0,99
2019-11-01,0,101
2019-11-02,8,90
2019-11-03,1.6,106
2019-11-04,0,94
2019-11-05,0,74
2019-11-06,0,79
2019-11-07,0,88
2019-11-08,0,76
2019-11-09,0,77
2019-11-10,0,83
2019-11-11,0,87
2019-11-12,0,85
2019-11-13,1.2,75
2019-11-14,0,65
2019-11-15,0,77
2019-11-16,0,91
2019-11-17,31.1,104
2019-11-18,13.7,31
2019-11-19,0,62
2019-11-20,0,73
2019-11-21,0,84
2019-11-22,0,85
2019-11-23,0,88
2019-11-24,8.6,108
2019-11-25,7.4,63
2019-11-26,1.8,41
2019-11-27,15.4,32
2019-11-28,0.2,31
2019-11-29,0,59
2019-11-30,4,69
2019-12-01,1.7,69
2019-12-02,0,102
2019-12-03,0,85
2019-12-04,0,73
2019-12-05,0,78
2019-12-06,0,73
2019-12-07,0,77
2019-12-08,0,83
2019-12-09,0,91
2019-12-10,0,103
2019-12-11,0,92
2019-12-12,0,93
2019-12-13,0,119
2019-12-14,0,125
2019-12-15,0,122
2019-12-16,0.1,168
2019-12-17,4,140
2019-12-18,19.9,90
2019-12-19,40.4,39
2019-12-20,50.7,40
2019-12-21,47.6,25
2019-12-22,6.9,55
2019-12-23,23.5,46
2019-12-24,2.4,71
2019-12-25,37.3,82
2019-12-26,0,60
2019-12-27,0,120
2019-12-28,1.9,103
2019-12-29,0.5,129
2019-12-30,75.4,156
2019-12-31,2.7,116
2020-01-01,0.1,98
2020-01-02,0.5,107
2020-01-03,2.5,79
2020-01-04,0.8,109
2020-01-05,0,107
2020-01-06,4.6,121
2020-01-07,10.4,46
2020-01-08,0,64
2020-01-09,10.7,70
2020-01-10,25.3,43
2020-01-11,6.1,48
2020-01-12,0,71
2020-01-13,0.4,69
2020-01-14,16.2,72
2020-01-15,42,56
2020-01-16,4,60
2020-01-17,3.5,92
2020-01-18,8.1,90
2020-01-19,0,107
2020-01-20,2.5,95
2020-01-21,6.3,89
2020-01-22,37.2,85
2020-01-23,42.9,43
2020-01-24,104.8,54
2020-01-25,143.3,65
2020-01-26,0.9,40
2020-01-27,0.6,65
2020-01-28,0,63
2020-01-29,0,64
2020-01-30,0,70
2020-01-31,0,72
2020-02-01,7.8,78
2020-02-02,28.5,79
2020-02-03,14.6,56
2020-02-04,6,53
2020-02-05,38.4,47
2020-02-06,122.4,26
2020-02-07,0.5,34
2020-02-08,1,57
2020-02-09,0.5,55
2020-02-10,9.1,61
2020-02-11,42.5,52
2020-02-12,22.9,41
2020-02-13,18.6,35
2020-02-14,92,35
2020-02-15,192.5,21
2020-02-16,3,24
2020-02-17,0,33
2020-02-18,0,36
2020-02-19,0,53
2020-02-20,0,59
2020-02-21,4.1,66
2020-02-22,0,67
2020-02-23,0,58
2020-02-24,0,59
2020-02-25,12.1,54
2020-02-26,15.3,96
2020-02-27,0.5,59
2020-02-28,0.4,54
2020-02-29,78.5,43
2020-03-01,0,36
2020-03-02,7.9,42
2020-03-03,79.9,23
2020-03-04,11.8,44
2020-03-05,6,70
2020-03-06,64.2,34
2020-03-07,27.2,17
2020-03-08,101.8,29
2020-03-09,51.5,28
2020-03-10,0,55
2020-03-11,28.8,66
2020-03-12,91.3,34
2020-03-13,8.7,48
2020-03-14,0.3,87
2020-03-15,0,68
2020-03-16,7.6,71
2020-03-17,11.7,65
2020-03-18,0.3,56
2020-03-19,0,50
2020-03-20,8.1,59
2020-03-21,22.2,51
2020-03-22,71.5,26
2020-03-23,7.6,46
2020-03-24,19.9,57
2020-03-25,39.2,52
2020-03-26,197.8,40
2020-03-27,60.1,21
2020-03-28,10.7,26
2020-03-29,95.7,19
2020-03-30,9.2,27
2020-03-31,8.1,41
2020-04-01,2.6,46
2020-04-02,58.2,57
2020-04-03,44.3,52
2020-04-04,3.6,66
2020-04-05,0.4,69
2020-04-06,1.4,78
2020-04-07,0,67
2020-04-08,0,68
2020-04-09,0,74
2020-04-10,83.9,81
2020-04-11,107.1,32
2020-04-12,0,49
2020-04-13,0,56
2020-04-14,0,60
