date,Rain,AQI
2019/9/1,57.7,44
2019/9/2,31.2,27
2019/9/3,3.7,28
2019/9/4,19.9,39
2019/9/5,38.3,45
2019/9/6,0.4,39
2019/9/7,0,60
2019/9/8,1.7,57
2019/9/9,28.6,77
2019/9/10,3,68
2019/9/11,0,65
2019/9/12,0,58
2019/9/13,0,63
2019/9/14,13.6,60
2019/9/15,5.3,52
2019/9/16,15,57
2019/9/17,0,56
2019/9/18,0,60
2019/9/19,0,54
2019/9/20,0,54
2019/9/21,0,53
2019/9/22,0,81
2019/9/23,0,71
2019/9/24,0,64
2019/9/25,0,95
2019/9/26,0,102
2019/9/27,0,104
2019/9/28,0,107
2019/9/29,0,112
2019/9/30,0,104
2019/10/1,0,63
2019/10/2,0,40
2019/10/3,0,45
2019/10/4,0,77
2019/10/5,7.6,75
2019/10/6,9.9,50
2019/10/7,15.2,64
2019/10/8,0,56
2019/10/9,0,57
2019/10/10,0,74
2019/10/11,23.4,78
2019/10/12,10.2,88
2019/10/13,0,56
2019/10/14,1.4,65
2019/10/15,3.7,51
2019/10/16,0,59
2019/10/17,0,56
2019/10/18,0,68
2019/10/19,0,60
2019/10/20,0,74
2019/10/21,0,77
2019/10/22,0,70
2019/10/23,7.9,55
2019/10/24,0,69
2019/10/25,1.6,70
2019/10/26,0,60
2019/10/27,0.6,40
2019/10/28,13.2,43
2019/10/29,0,69
2019/10/30,0,113
2019/10/31,0,113
2019/11/1,0,106
2019/11/2,0,75
2019/11/3,0,85
2019/11/4,0,96
2019/11/5,0,74
2019/11/6,0,64
2019/11/7,0,89
2019/11/8,0,63
2019/11/9,0,68
2019/11/10,0,74
2019/11/11,0,68
2019/11/12,0,84
2019/11/13,0,109
2019/11/14,0,62
2019/11/15,0,73
2019/11/16,0,76
2019/11/17,5.9,80
2019/11/18,4,56
2019/11/19,0,76
2019/11/20,0,71
2019/11/21,0,65
2019/11/22,0,70
2019/11/23,0,68
2019/11/24,0,78
2019/11/25,0,31
2019/11/26,0,58
2019/11/27,0,62
2019/11/28,0,23
2019/11/29,0,55
2019/11/30,0,62
2019/12/1,0,66
2019/12/2,0,58
2019/12/3,0,83
2019/12/4,0,83
2019/12/5,0,81
2019/12/6,0,65
2019/12/7,0,63
2019/12/8,0,83
2019/12/9,0,79
2019/12/10,0,78
2019/12/11,0,74
2019/12/12,0,123
2019/12/13,0,87
2019/12/14,0,105
2019/12/15,0,124
2019/12/16,0,78
2019/12/17,1.1,105
2019/12/18,10.5,65
2019/12/19,19.5,23
2019/12/20,0.6,38
2019/12/21,31.5,21
2019/12/22,1.3,24
2019/12/23,1.8,50
2019/12/24,0,36
2019/12/25,0.7,37
2019/12/26,2,28
2019/12/27,0,51
2019/12/28,0,74
2019/12/29,0,83
2019/12/30,0.6,88
2019/12/31,1.8,54
2020/1/1,0,64
2020/1/2,0,86
2020/1/3,0,79
2020/1/4,0,88
2020/1/5,0,46
2020/1/6,0,57
2020/1/7,0,60
2020/1/8,0,38
2020/1/9,0,70
2020/1/10,0.1,46
2020/1/11,8.9,18
2020/1/12,0,35
2020/1/13,0.3,48
2020/1/14,9.3,60
2020/1/15,9.8,88
2020/1/16,12.2,14
2020/1/17,0,35
2020/1/18,0,46
2020/1/19,0,53
2020/1/20,0,75
2020/1/21,0,70
2020/1/22,0,93
2020/1/23,15.4,77
2020/1/24,21.4,15
2020/1/25,125.3,50
2020/1/26,21.5,16
2020/1/27,0.9,23
2020/1/28,0,40
2020/1/29,0,55
2020/1/30,0,54
2020/1/31,0,74
2020/2/1,0,63
2020/2/2,19,37
2020/2/3,59.2,33
2020/2/4,41.7,48
2020/2/5,2.1,45
2020/2/6,54.3,42
2020/2/7,1.5,18
2020/2/8,0.7,20
2020/2/9,0.8,26
2020/2/10,0,41
2020/2/11,9,43
2020/2/12,64.9,38
2020/2/13,138.1,33
2020/2/14,74.9,35
2020/2/15,231.1,28
2020/2/16,0.2,19
2020/2/17,0,36
2020/2/18,0,32
2020/2/19,0,60
2020/2/20,0,54
2020/2/21,0,45
2020/2/22,0,59
2020/2/23,0,67
2020/2/24,0.3,67
2020/2/25,0,53
2020/2/26,0.5,72
2020/2/27,0.3,45
2020/2/28,0,58
2020/2/29,46.7,79
2020/3/1,3,22
2020/3/2,2.9,28
2020/3/3,42.7,46
2020/3/4,85.8,27
2020/3/5,0,51
2020/3/6,3.4,50
2020/3/7,53.3,52
2020/3/8,23.3,45
2020/3/9,52.9,27
2020/3/10,0.3,67
2020/3/11,12.3,48
2020/3/12,46.1,60
2020/3/13,18.5,48
2020/3/14,0,50
2020/3/15,0,64
2020/3/16,1.9,61
2020/3/17,30.3,83
2020/3/18,59.2,57
2020/3/19,10.9,56
2020/3/20,3.7,84
2020/3/21,0.3,51
2020/3/22,20.6,52
2020/3/23,15.3,64
2020/3/24,100.6,58
2020/3/25,5.1,60
2020/3/26,14.2,58
2020/3/27,91.6,36
2020/3/28,0.6,22
2020/3/29,32.7,32
2020/3/30,23.9,17
2020/3/31,23.2,35
2020/4/1,4,52
2020/4/2,78.3,54
2020/4/3,181.8,55
2020/4/4,39.5,77
2020/4/5,27.7,85
2020/4/6,3.2,63
2020/4/7,0,45
2020/4/8,0.3,57
2020/4/9,0,58
2020/4/10,15,61
2020/4/11,60.7,54
2020/4/12,0,39
2020/4/13,0,68
2020/4/14,0,0
