date,Rain,AQI
2019-09-01,69.2,39
2019-09-02,24,26
2019-09-03,7.7,34
2019-09-04,12,38
2019-09-05,23.4,42
2019-09-06,21.6,40
2019-09-07,0,47
2019-09-08,0,57
2019-09-09,0,72
2019-09-10,0,76
2019-09-11,0,73
2019-09-12,0,65
2019-09-13,0,66
2019-09-14,0,63
2019-09-15,0,55
2019-09-16,18.6,62
2019-09-17,0,61
2019-09-18,0.3,56
2019-09-19,0,53
2019-09-20,0,54
2019-09-21,0,43
2019-09-22,0.3,42
2019-09-23,0,54
2019-09-24,0,65
2019-09-25,0,73
2019-09-26,0,79
2019-09-27,0,92
2019-09-28,0,97
2019-09-29,0,110
2019-09-30,0,95
2019-10-01,0,75
2019-10-02,0,63
2019-10-03,0,64
2019-10-04,0,77
2019-10-05,14,90
2019-10-06,0.5,63
2019-10-07,1.8,63
2019-10-08,0,42
2019-10-09,0,60
2019-10-10,0,75
2019-10-11,4.9,65
2019-10-12,3.3,85
2019-10-13,0,105
2019-10-14,0,64
2019-10-15,0,42
2019-10-16,0,56
2019-10-17,0,55
2019-10-18,0,64
2019-10-19,0,65
2019-10-20,0,76
2019-10-21,0,70
2019-10-22,1.5,67
2019-10-23,0,74
2019-10-24,0,76
2019-10-25,8.3,80
2019-10-26,7.2,74
2019-10-27,17.1,72
2019-10-28,2,109
2019-10-29,0,62
2019-10-30,0,97
2019-10-31,0,98
2019-11-01,0,94
2019-11-02,0.3,88
2019-11-03,0,92
2019-11-04,0,93
2019-11-05,0,71
2019-11-06,0,83
2019-11-07,0,86
2019-11-08,0,72
2019-11-09,0,76
2019-11-10,0,72
2019-11-11,0,81
2019-11-12,0,76
2019-11-13,0,87
2019-11-14,0,60
2019-11-15,0,66
2019-11-16,0,80
2019-11-17,1.5,86
2019-11-18,16.2,43
2019-11-19,0,52
2019-11-20,0,74
2019-11-21,0,60
2019-11-22,0,69
2019-11-23,0,70
2019-11-24,0,85
2019-11-25,6,64
2019-11-26,0.1,44
2019-11-27,4.1,34
2019-11-28,0,21
2019-11-29,0,46
2019-11-30,0.2,59
2019-12-01,2.2,71
2019-12-02,0,90
2019-12-03,0,77
2019-12-04,0,63
2019-12-05,0,66
2019-12-06,0,69
2019-12-07,0,62
2019-12-08,0,72
2019-12-09,0,60
2019-12-10,0,64
2019-12-11,0,83
2019-12-12,0,114
2019-12-13,0,100
2019-12-14,0,99
2019-12-15,0,104
2019-12-16,0,84
2019-12-17,1,147
2019-12-18,17.3,49
2019-12-19,22.5,22
2019-12-20,76.8,30
2019-12-21,49.8,22
2019-12-22,2,39
2019-12-23,35.8,65
2019-12-24,1,44
2019-12-25,40,52
2019-12-26,3.6,36
2019-12-27,0,62
2019-12-28,0.3,78
2019-12-29,0,83
2019-12-30,56.7,85
2019-12-31,0.8,79
2020-01-01,0.1,60
2020-01-02,1.4,90
2020-01-03,4,119
2020-01-04,0.2,74
2020-01-05,0,75
2020-01-06,0,61
2020-01-07,14.1,36
2020-01-08,0,49
2020-01-09,3.9,83
2020-01-10,23.6,46
2020-01-11,29.3,26
2020-01-12,0.3,41
2020-01-13,0,46
2020-01-14,4.4,63
2020-01-15,62.2,100
2020-01-16,9,29
2020-01-17,0.6,63
2020-01-18,6.1,57
2020-01-19,0.2,67
2020-01-20,0,67
2020-01-21,0.4,82
2020-01-22,8.5,73
2020-01-23,32.4,47
2020-01-24,46.3,24
2020-01-25,246.4,34
2020-01-26,39.6,14
2020-01-27,1.6,30
2020-01-28,1.6,59
2020-01-29,0,66
2020-01-30,1.2,65
2020-01-31,0,70
2020-02-01,0,57
2020-02-02,4.6,58
2020-02-03,2,50
2020-02-04,0,43
2020-02-05,0,43
2020-02-06,111.3,33
2020-02-07,0.9,18
2020-02-08,1.2,31
2020-02-09,0,38
2020-02-10,5.8,44
2020-02-11,37.9,68
2020-02-12,9.4,39
2020-02-13,12.7,32
2020-02-14,1,35
2020-02-15,148.6,24
2020-02-16,0,27
2020-02-17,0,35
2020-02-18,0,34
2020-02-19,0,47
2020-02-20,0,62
2020-02-21,3.5,60
2020-02-22,0.3,75
2020-02-23,0,65
2020-02-24,0,58
2020-02-25,8.7,53
2020-02-26,10.3,86
2020-02-27,0,44
2020-02-28,0.6,70
2020-02-29,37.8,52
2020-03-01,1.1,43
2020-03-02,22.3,33
2020-03-03,45.2,36
2020-03-04,19.5,41
2020-03-05,8.4,56
2020-03-06,119.8,52
2020-03-07,11.8,45
2020-03-08,111.4,68
2020-03-09,38.2,34
2020-03-10,4.3,79
2020-03-11,28.3,55
2020-03-12,89.8,52
2020-03-13,2,47
2020-03-14,0,51
2020-03-15,0,60
2020-03-16,7.4,74
2020-03-17,29.6,86
2020-03-18,0,51
2020-03-19,0.3,45
2020-03-20,1.1,53
2020-03-21,74.4,47
2020-03-22,14.4,38
2020-03-23,16.1,64
2020-03-24,27.3,62
2020-03-25,17.3,66
2020-03-26,61.6,51
2020-03-27,72.1,32
2020-03-28,10.4,18
2020-03-29,114.3,20
2020-03-30,14.2,24
2020-03-31,32,32
2020-04-01,0.2,34
2020-04-02,18.1,59
2020-04-03,12.4,69
2020-04-04,5.6,68
2020-04-05,1.4,100
2020-04-06,0,70
2020-04-07,0,58
2020-04-08,0,62
2020-04-09,0,70
2020-04-10,90.6,71
2020-04-11,40.2,56
2020-04-12,0,46
2020-04-13,0,52
2020-04-14,0,64
