日期,类型,城市名,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,等级,排名
2月1日,1,南昌,1,74,54,60,5,18,0.69,73,良,216
2月1日,1,赣州,2,44,30,40,3,10,1,67,优,72
2月1日,1,宜春,3,59,43,52,9,15,0.93,52,良,153
2月1日,1,吉安,4,62,44,63,8,12,0.77,70,良,171
2月1日,1,上饶,5,56,39,52,5,8,0.51,66,良,124
2月1日,1,抚州,6,69,50,65,5,12,0.67,75,良,190
2月1日,1,九江,7,95,71,84,9,24,0.62,57,良,257
2月1日,1,景德镇,8,45,31,38,4,10,0.48,43,优,78
2月1日,1,萍乡,9,78,57,69,22,21,1.68,71,良,229
2月1日,1,新余,10,66,47,60,8,9,0.67,78,良,179
2月1日,1,鹰潭,11,57,40,43,11,8,0.37,63,良,136
2月2日,1,南昌,1,75,54,59,8,20,0.81,59,良,260
2月2日,1,赣州,2,44,31,39,3,7,1.01,63,优,119
2月2日,1,宜春,3,78,57,59,9,16,0.86,59,良,265
2月2日,1,吉安,4,66,47,65,7,13,0.78,57,良,246
2月2日,1,上饶,5,49,34,44,4,9,0.44,66,优,145
2月2日,1,抚州,6,69,50,63,6,13,0.63,59,良,251
2月2日,1,九江,7,75,54,64,10,28,0.48,43,良,261
2月2日,1,景德镇,8,42,29,37,5,12,0.53,39,优,105
2月2日,1,萍乡,9,79,58,66,6,16,1.05,51,良,270
2月2日,1,新余,10,56,39,53,6,10,0.72,60,良,186
2月2日,1,鹰潭,11,58,41,42,11,9,0.35,61,良,210
2月3日,1,南昌,1,53,37,42,6,12,0.6,69,良,180
2月3日,1,赣州,2,30,19,29,2,5,1.1,60,优,53
2月3日,1,宜春,3,43,30,37,8,14,0.78,50,优,113
2月3日,1,吉安,4,57,40,59,7,11,0.78,54,良,206
2月3日,1,上饶,5,40,27,37,3,7,0.44,55,优,94
2月3日,1,抚州,6,51,35,47,5,11,0.64,51,良,167
2月3日,1,九江,7,78,57,60,7,17,0.39,64,良,287
2月3日,1,景德镇,8,28,19,22,4,5,0.39,49,优,42
2月3日,1,萍乡,9,56,40,47,4,11,0.99,55,良,195
2月3日,1,新余,10,47,33,45,6,7,0.56,63,优,137
2月3日,1,鹰潭,11,50,36,33,7,8,0.33,48,优,160
2月4日,1,南昌,1,43,29,35,4,16,0.52,55,优,163
2月4日,1,赣州,2,36,25,34,2,5,1.04,58,优,116
2月4日,1,宜春,3,41,28,34,6,11,0.86,46,优,147
